date,time,temperature,hive,heat up
2020/10/2,2020/10/2 06:14,29.6,B,1
2020/10/2,2020/10/2 06:19,29.6,B,1
2020/10/2,2020/10/2 06:24,30.1,B,1
2020/10/2,2020/10/2 06:29,30.1,B,1
2020/10/2,2020/10/2 06:34,30.6,B,1
2020/10/2,2020/10/2 06:39,31.1,B,1
2020/10/2,2020/10/2 06:44,31.6,B,1
2020/10/2,2020/10/2 06:49,31.6,B,1
2020/10/2,2020/10/2 06:54,31.6,B,1
2020/10/2,2020/10/2 06:59,32.1,B,1
2020/10/2,2020/10/2 07:04,32.1,B,1
2020/10/2,2020/10/2 07:09,32.1,B,1
2020/10/2,2020/10/2 07:14,32.1,B,1
2020/10/2,2020/10/2 07:19,32.1,B,1
2020/10/2,2020/10/2 07:24,32.1,B,1
2020/10/2,2020/10/2 07:29,32.6,B,1
2020/10/2,2020/10/2 07:34,32.6,B,1
2020/10/2,2020/10/2 07:39,32.6,B,1
2020/10/2,2020/10/2 07:44,32.6,B,1
2020/10/2,2020/10/2 07:49,32.6,B,1
2020/10/2,2020/10/2 07:54,32.6,B,1
2020/10/2,2020/10/2 07:59,32.6,B,1
2020/10/2,2020/10/2 08:04,32.6,B,1
2020/10/2,2020/10/2 08:09,32.6,B,1
2020/10/2,2020/10/2 08:14,33.1,B,1
2020/10/2,2020/10/2 08:19,33.1,B,1
2020/10/2,2020/10/2 08:24,33.1,B,1
2020/10/2,2020/10/2 08:29,33.1,B,1
2020/10/2,2020/10/2 08:34,33.1,B,1
2020/10/2,2020/10/2 08:39,33.6,B,1
2020/10/2,2020/10/2 08:44,33.6,B,1
2020/10/2,2020/10/2 08:49,33.6,B,1
2020/10/2,2020/10/2 08:54,33.6,B,1
2020/10/2,2020/10/2 08:59,33.6,B,1
2020/10/2,2020/10/2 09:04,33.6,B,1
2020/10/2,2020/10/2 09:09,33.6,B,1
2020/10/2,2020/10/2 09:14,33.6,B,1
2020/10/2,2020/10/2 09:19,34.1,B,1
2020/10/2,2020/10/2 09:24,34.1,B,1
2020/10/2,2020/10/2 09:29,34.1,B,1
2020/10/2,2020/10/2 09:34,34.1,B,1
2020/10/2,2020/10/2 09:39,34.1,B,1
2020/10/2,2020/10/2 09:44,34.1,B,1
2020/10/2,2020/10/2 09:49,34.1,B,1
2020/10/2,2020/10/2 09:54,34.1,B,1
2020/10/2,2020/10/2 09:59,34.1,B,1
2020/10/2,2020/10/2 10:04,34.1,B,1
2020/10/2,2020/10/2 10:09,34.1,B,1
2020/10/2,2020/10/2 10:14,34.1,B,1
2020/10/2,2020/10/2 10:19,34.1,B,1
2020/10/2,2020/10/2 10:24,34.6,B,1
2020/10/2,2020/10/2 10:29,34.6,B,1
2020/10/2,2020/10/2 10:34,34.6,B,1
2020/10/2,2020/10/2 10:39,34.6,B,1
